Order Number,Sales Date,Sales Channel,Currency,Salesteamindex,Storeindex,Productindex,Order qty,unit price,unit cost,profit
SO43,"Saturday, April 18, 2020",In-Store,USD,24,99,25,3,444.07,317.19,126.88
SO44,"Monday, January 13, 2020",Wholesale,USD,25,151,25,4,288.65,206.18,82.47
SO45,"Tuesday, January 14, 2020",Online,USD,11,48,9,5,180.97,129.26,51.71
SO46,"Saturday, April 18, 2020",In-Store,USD,3,175,7,4,190.49,136.07,54.43
SO47,"Saturday, January 11, 2020",Online,USD,25,38,32,9,194.43,138.88,55.55
SO48,"Friday, April 17, 2020",Online,USD,25,243,17,6,304.31,217.36,86.94
SO49,"Friday, February 28, 2020",Online,USD,25,132,4,5,455.08,325.06,130.02
SO50,"Wednesday, March 25, 2020",Wholesale,USD,1,32,27,3,534.18,381.56,152.62
SO51,"Tuesday, March 31, 2020",Wholesale,USD,25,235,19,9,299.54,213.96,85.58
SO52,"Thursday, February 6, 2020",Online,USD,5,81,20,8,212.67,151.91,60.76
SO53,"Friday, April 17, 2020",Online,USD,4,163,27,4,184.10,131.50,52.60
SO54,"Wednesday, January 1, 2020",In-Store,USD,4,302,17,1,605.04,432.17,172.87
SO55,"Wednesday, February 5, 2020",In-Store,USD,19,265,22,1,434.46,310.33,124.13
SO56,"Wednesday, April 8, 2020",Distributor,USD,19,133,7,6,393.68,281.20,112.48
SO57,"Sunday, April 26, 2020",Online,USD,6,37,42,10,514.02,367.16,146.86
SO58,"Sunday, February 9, 2020",Online,USD,4,310,7,9,628.65,449.04,179.61
SO59,"Friday, March 6, 2020",Distributor,USD,8,341,1,3,454.75,324.82,129.93
SO60,"Wednesday, March 4, 2020",Online,USD,10,62,42,6,184.67,131.91,52.76
SO61,"Sunday, April 5, 2020",Distributor,USD,9,244,25,9,207.67,148.33,59.33
SO62,"Thursday, March 5, 2020",In-Store,USD,20,170,40,2,465.11,332.22,132.89
SO63,"Friday, May 22, 2020",In-Store,USD,17,147,20,9,310.43,221.74,88.69
SO64,"Friday, January 17, 2020",Distributor,USD,3,8,23,10,643.70,459.78,183.91
SO65,"Monday, January 27, 2020",In-Store,USD,6,199,30,9,380.69,271.92,108.77
SO66,"Thursday, January 23, 2020",Online,USD,9,282,12,6,431.01,307.86,123.15
SO67,"Friday, May 15, 2020",Wholesale,USD,18,339,13,4,586.06,418.62,167.45
SO68,"Friday, January 17, 2020",Online,USD,21,141,42,4,424.10,302.93,121.17
SO69,"Wednesday, May 6, 2020",Wholesale,USD,15,335,36,1,344.87,246.34,98.53
SO70,"Monday, March 16, 2020",Online,USD,21,195,1,6,242.60,173.29,69.31
SO71,"Sunday, January 26, 2020",Online,USD,20,92,37,5,160.17,114.41,45.76
SO72,"Sunday, April 5, 2020",Wholesale,USD,11,296,16,6,291.35,208.11,83.24
SO73,"Sunday, March 15, 2020",Distributor,USD,10,252,40,3,590.59,421.85,168.74
SO74,"Tuesday, January 14, 2020",Distributor,USD,20,124,32,6,589.28,420.92,168.37
SO75,"Tuesday, May 19, 2020",Online,USD,3,251,14,6,502.90,359.21,143.69
SO76,"Thursday, January 2, 2020",In-Store,USD,1,71,25,1,250.13,178.67,71.47
SO77,"Sunday, April 19, 2020",Distributor,USD,21,259,16,7,383.62,274.01,109.61
SO78,"Sunday, March 22, 2020",Distributor,USD,23,361,8,7,323.28,230.92,92.37
SO79,"Thursday, March 5, 2020",Wholesale,USD,19,331,9,7,579.85,414.18,165.67
SO80,"Friday, January 31, 2020",Wholesale,USD,14,121,8,6,303.66,216.90,86.76
SO81,"Wednesday, February 5, 2020",In-Store,USD,22,69,35,9,497.15,355.11,142.04
SO82,"Friday, January 3, 2020",Distributor,USD,16,41,15,10,287.63,205.45,82.18
SO83,"Thursday, January 30, 2020",Wholesale,USD,9,12,43,7,398.28,284.48,113.79
SO84,"Sunday, March 22, 2020",Online,USD,7,232,33,5,336.25,240.18,96.07
SO85,"Friday, March 27, 2020",Distributor,USD,23,164,12,2,558.02,398.59,159.43
SO86,"Sunday, February 2, 2020",Distributor,USD,26,39,41,6,255.33,182.38,72.95
SO87,"Wednesday, February 5, 2020",Distributor,USD,1,365,17,3,169.45,121.03,48.41
SO88,"Saturday, April 25, 2020",Online,USD,4,61,16,2,622.16,444.40,177.76
SO89,"Saturday, January 11, 2020",Online,USD,20,305,33,8,526.28,375.91,150.36
SO90,"Friday, March 6, 2020",Online,USD,21,84,27,6,502.85,359.18,143.67
SO91,"Tuesday, April 14, 2020",Online,USD,11,21,15,9,598.29,427.35,170.94
SO92,"Friday, February 14, 2020",In-Store,USD,24,341,19,4,455.67,325.48,130.19
SO93,"Wednesday, January 8, 2020",In-Store,USD,26,342,39,6,295.89,211.35,84.54
SO94,"Thursday, January 2, 2020",Wholesale,USD,25,5,26,9,502.80,359.15,143.66
SO95,"Sunday, April 5, 2020",In-Store,USD,21,252,24,4,292.28,208.77,83.51
SO96,"Sunday, April 19, 2020",Online,USD,14,125,33,2,413.40,295.29,118.11
SO97,"Friday, February 14, 2020",Online,USD,2,15,32,4,422.82,302.02,120.81
SO98,"Friday, May 22, 2020",Online,USD,4,332,47,2,246.90,176.36,70.54
SO99,"Tuesday, January 21, 2020",In-Store,USD,2,225,20,2,309.60,221.14,88.46
SO100,"Tuesday, March 31, 2020",Online,USD,3,10,19,3,232.90,166.35,66.54
SO101,"Sunday, April 19, 2020",Online,USD,8,311,16,7,473.24,338.03,135.21
SO102,"Friday, April 24, 2020",Distributor,USD,22,54,47,7,191.15,136.54,54.62
SO103,"Wednesday, April 8, 2020",Distributor,USD,4,58,42,5,315.50,225.35,90.14
SO104,"Friday, March 6, 2020",In-Store,USD,22,304,1,9,323.45,231.03,92.41
SO105,"Monday, February 24, 2020",Wholesale,USD,19,143,39,4,503.09,359.35,143.74
SO106,"Wednesday, April 15, 2020",Distributor,USD,5,341,33,3,324.35,231.68,92.67
SO107,"Friday, March 20, 2020",Distributor,USD,11,301,20,9,374.95,267.82,107.13
SO108,"Tuesday, May 26, 2020",Online,USD,5,24,31,10,396.18,282.99,113.20
SO109,"Sunday, March 22, 2020",In-Store,USD,8,98,19,6,157.80,112.71,45.09
SO110,"Sunday, January 12, 2020",Wholesale,USD,17,284,35,9,363.72,259.80,103.92
SO111,"Monday, May 11, 2020",Online,USD,18,34,11,3,365.57,261.12,104.45
SO112,"Tuesday, April 14, 2020",Wholesale,USD,16,21,26,7,223.38,159.56,63.82
SO113,"Saturday, February 22, 2020",Distributor,USD,10,32,43,3,402.34,287.39,114.96
SO114,"Sunday, May 24, 2020",Wholesale,USD,13,65,40,3,576.93,412.10,164.84
SO115,"Friday, April 3, 2020",In-Store,USD,7,205,11,9,517.68,369.77,147.91
SO116,"Thursday, April 2, 2020",In-Store,USD,5,326,39,1,523.06,373.61,149.45
SO117,"Thursday, February 20, 2020",In-Store,USD,11,60,26,5,366.48,261.77,104.71
SO118,"Tuesday, May 26, 2020",In-Store,USD,18,182,35,7,224.25,160.18,64.07
SO119,"Sunday, May 10, 2020",Online,USD,3,74,16,7,576.80,412.00,164.80
SO120,"Sunday, February 9, 2020",In-Store,USD,14,152,24,4,461.80,329.86,131.94
SO121,"Friday, March 13, 2020",In-Store,USD,22,177,39,3,327.29,233.78,93.51
SO122,"Saturday, March 21, 2020",Distributor,USD,4,36,11,4,635.01,453.58,181.43
SO123,"Friday, March 6, 2020",Distributor,USD,18,362,4,6,594.19,424.42,169.77
SO124,"Monday, May 25, 2020",Distributor,USD,8,199,37,1,292.82,209.16,83.66
SO125,"Sunday, February 23, 2020",Wholesale,USD,11,327,34,8,307.91,219.94,87.98
SO126,"Saturday, February 1, 2020",In-Store,USD,26,271,34,2,393.35,280.96,112.39
SO127,"Monday, April 20, 2020",In-Store,USD,14,257,22,10,339.81,242.72,97.09
SO128,"Saturday, February 22, 2020",Distributor,USD,14,270,25,4,612.31,437.36,174.95
SO129,"Saturday, April 4, 2020",Online,USD,14,207,8,7,304.59,217.57,87.03
SO130,"Friday, February 21, 2020",Online,USD,10,80,32,6,168.10,120.07,48.03
SO131,"Monday, April 27, 2020",In-Store,USD,14,6,45,10,343.45,245.32,98.13
SO132,"Tuesday, January 21, 2020",Distributor,USD,13,286,3,4,238.01,170.01,68.00
SO133,"Saturday, April 18, 2020",Wholesale,USD,26,256,34,10,638.92,456.37,182.55
SO134,"Friday, May 22, 2020",Distributor,USD,3,94,34,8,153.04,109.31,43.73
SO135,"Sunday, March 29, 2020",In-Store,USD,3,304,43,5,556.07,397.19,158.88
SO136,"Monday, January 20, 2020",Wholesale,USD,17,296,9,3,225.04,160.74,64.30
SO137,"Wednesday, April 29, 2020",Online,USD,1,171,28,8,431.37,308.12,123.25
SO138,"Saturday, May 9, 2020",Online,USD,26,236,29,7,638.33,455.95,182.38
SO139,"Wednesday, April 15, 2020",Online,USD,24,305,4,4,639.52,456.80,182.72
SO140,"Thursday, March 12, 2020",In-Store,USD,24,203,21,6,491.96,351.40,140.56
SO141,"Thursday, May 21, 2020",Online,USD,7,83,35,7,208.05,148.60,59.44
SO142,"Sunday, January 19, 2020",In-Store,USD,6,231,32,7,202.22,144.45,57.78
SO143,"Tuesday, January 7, 2020",Distributor,USD,15,125,24,2,381.36,272.40,108.96
SO144,"Saturday, February 1, 2020",In-Store,USD,7,321,27,9,580.14,414.38,165.75
SO145,"Friday, April 3, 2020",Wholesale,USD,13,353,21,4,624.70,446.21,178.49
SO146,"Monday, April 6, 2020",In-Store,USD,23,206,24,5,541.00,386.43,154.57
SO147,"Thursday, January 2, 2020",Online,USD,21,139,23,8,235.04,167.89,67.16
SO148,"Sunday, May 31, 2020",Online,USD,11,191,18,1,538.27,384.48,153.79
SO149,"Monday, March 2, 2020",Wholesale,USD,4,1,42,7,314.01,224.30,89.72
SO150,"Monday, January 6, 2020",Wholesale,USD,25,283,37,3,402.20,287.29,114.91
SO151,"Sunday, April 26, 2020",Online,USD,17,367,3,10,482.29,344.49,137.80
SO152,"Saturday, January 25, 2020",Distributor,USD,21,50,32,10,429.26,306.61,122.64
SO153,"Saturday, May 16, 2020",Online,USD,9,353,9,5,371.10,265.07,106.03
SO154,"Tuesday, May 5, 2020",In-Store,USD,12,268,22,5,164.04,117.17,46.87
SO155,"Monday, May 4, 2020",In-Store,USD,6,320,21,6,520.73,371.95,148.78
SO156,"Saturday, May 23, 2020",Online,USD,1,198,27,2,463.27,330.91,132.36
SO157,"Friday, May 22, 2020",Wholesale,USD,1,348,29,10,447.27,319.48,127.79
SO158,"Thursday, April 30, 2020",Online,USD,20,154,6,1,528.16,377.25,150.90
SO159,"Saturday, May 16, 2020",In-Store,USD,13,35,45,2,280.81,200.58,80.23
SO160,"Friday, January 3, 2020",Online,USD,3,86,46,9,254.07,181.48,72.59
SO161,"Friday, January 10, 2020",Online,USD,14,7,46,8,480.04,342.89,137.16
SO162,"Monday, April 6, 2020",Online,USD,7,364,29,10,335.52,239.65,95.86
SO163,"Wednesday, May 27, 2020",In-Store,USD,5,106,47,10,264.89,189.20,75.68
SO164,"Saturday, February 8, 2020",Online,USD,13,64,18,2,204.60,146.14,58.46
SO165,"Sunday, February 2, 2020",In-Store,USD,4,321,16,5,544.44,388.89,155.55
SO166,"Friday, May 8, 2020",Wholesale,USD,9,236,2,8,519.66,371.19,148.47
SO167,"Saturday, April 4, 2020",Distributor,USD,9,338,24,3,208.68,149.06,59.62
SO168,"Thursday, April 23, 2020",Wholesale,USD,24,285,41,8,512.78,366.27,146.51
SO169,"Monday, April 13, 2020",Wholesale,USD,5,303,2,2,328.47,234.62,93.85
SO170,"Sunday, May 10, 2020",Online,USD,11,281,34,1,169.13,120.81,48.32
SO171,"Monday, March 30, 2020",Distributor,USD,22,322,21,2,372.87,266.34,106.53
SO172,"Saturday, January 11, 2020",In-Store,USD,20,70,19,4,302.63,216.16,86.47
SO173,"Monday, February 17, 2020",Distributor,USD,4,361,38,5,236.89,169.20,67.68
SO174,"Monday, March 9, 2020",Online,USD,9,122,35,9,230.19,164.42,65.77
SO175,"Saturday, April 4, 2020",Wholesale,USD,1,108,30,2,455.00,325.00,130.00
SO176,"Wednesday, April 29, 2020",In-Store,USD,14,300,12,4,387.58,276.84,110.74
SO177,"Monday, May 25, 2020",Wholesale,USD,3,264,12,2,616.25,440.18,176.07
SO178,"Tuesday, February 25, 2020",Distributor,USD,3,200,26,9,320.75,229.11,91.64
SO179,"Tuesday, March 24, 2020",Online,USD,3,236,40,4,630.64,450.45,180.18
SO180,"Tuesday, February 4, 2020",In-Store,USD,14,22,41,10,648.02,462.87,185.15
SO181,"Thursday, January 30, 2020",Online,USD,14,135,31,3,604.15,431.53,172.61
SO182,"Sunday, February 2, 2020",In-Store,USD,17,263,37,2,178.60,127.57,51.03
SO183,"Wednesday, April 1, 2020",Wholesale,USD,7,18,9,9,214.71,153.36,61.35
SO184,"Wednesday, March 18, 2020",In-Store,USD,3,133,42,2,540.19,385.85,154.34
SO185,"Friday, February 7, 2020",In-Store,USD,5,64,33,2,610.73,436.24,174.49
SO186,"Thursday, April 2, 2020",Online,USD,1,150,24,2,232.85,166.32,66.53
SO187,"Thursday, January 2, 2020",Distributor,USD,6,318,28,1,456.21,325.86,130.35
SO188,"Wednesday, April 29, 2020",Wholesale,USD,17,166,15,3,231.19,165.13,66.05
SO189,"Monday, February 3, 2020",Distributor,USD,7,187,44,5,416.48,297.48,118.99
SO190,"Thursday, March 26, 2020",Online,USD,25,308,25,3,296.63,211.88,84.75
SO191,"Thursday, April 30, 2020",Wholesale,USD,8,193,30,8,444.05,317.18,126.87
SO192,"Sunday, April 26, 2020",Wholesale,USD,7,321,5,6,356.35,254.54,101.81
SO193,"Sunday, March 22, 2020",Distributor,USD,25,113,2,6,401.20,286.57,114.63
SO194,"Saturday, January 18, 2020",Distributor,USD,4,186,4,6,389.06,277.90,111.16
SO195,"Thursday, May 14, 2020",Wholesale,USD,6,216,34,3,152.20,108.71,43.49
SO196,"Saturday, March 14, 2020",Online,USD,16,273,43,2,398.81,284.86,113.95
SO197,"Tuesday, April 7, 2020",Online,USD,3,287,28,5,393.33,280.95,112.38
SO198,"Friday, February 7, 2020",Online,USD,10,32,32,4,179.43,128.16,51.27
SO199,"Thursday, March 5, 2020",Distributor,USD,14,33,16,5,604.10,431.50,172.60
SO200,"Thursday, February 20, 2020",In-Store,USD,18,282,6,3,200.32,143.09,57.23
SO201,"Monday, May 25, 2020",Online,USD,4,137,4,7,648.40,463.14,185.26
SO202,"Saturday, May 30, 2020",Distributor,USD,20,210,13,7,560.66,400.47,160.19
SO203,"Monday, February 24, 2020",Wholesale,USD,7,41,30,5,154.29,110.21,44.08
SO204,"Thursday, February 13, 2020",Distributor,USD,7,188,3,10,595.34,425.24,170.10
SO205,"Tuesday, January 14, 2020",Online,USD,8,349,46,3,447.85,319.90,127.96
SO206,"Friday, May 8, 2020",Distributor,USD,21,244,34,3,338.03,241.45,96.58
SO207,"Friday, February 7, 2020",In-Store,USD,18,226,13,8,414.29,295.92,118.37
SO208,"Tuesday, March 10, 2020",Distributor,USD,10,334,28,10,162.36,115.97,46.39
SO209,"Wednesday, February 12, 2020",Online,USD,2,98,13,6,330.02,235.73,94.29
SO210,"Wednesday, March 4, 2020",Distributor,USD,11,152,12,7,558.07,398.62,159.45
SO211,"Wednesday, February 26, 2020",Wholesale,USD,10,189,23,10,279.74,199.82,79.93
SO212,"Thursday, May 7, 2020",Online,USD,2,14,40,5,617.48,441.06,176.42
SO213,"Thursday, January 16, 2020",Online,USD,24,245,12,6,438.42,313.16,125.26
SO214,"Wednesday, February 12, 2020",Online,USD,12,39,24,10,445.84,318.46,127.38
SO215,"Monday, January 6, 2020",In-Store,USD,16,367,19,10,603.83,431.31,172.52
SO216,"Thursday, February 20, 2020",Distributor,USD,10,45,8,1,309.25,220.89,88.36
SO217,"Thursday, March 5, 2020",In-Store,USD,6,11,12,3,498.22,355.87,142.35
SO218,"Friday, January 24, 2020",Distributor,USD,5,153,32,8,481.33,343.81,137.52
SO219,"Thursday, January 23, 2020",Online,USD,23,48,30,1,478.90,342.07,136.83
SO220,"Thursday, January 2, 2020",Wholesale,USD,17,298,26,9,363.72,259.80,103.92
SO221,"Tuesday, March 31, 2020",Online,USD,13,360,3,6,419.08,299.34,119.74
SO222,"Wednesday, February 12, 2020",In-Store,USD,10,286,36,6,591.18,422.27,168.91
SO223,"Saturday, January 11, 2020",Distributor,USD,18,239,8,4,156.32,111.65,44.66
SO224,"Friday, April 3, 2020",Distributor,USD,3,250,45,4,433.80,309.86,123.94
SO225,"Thursday, May 21, 2020",Distributor,USD,19,125,12,9,522.10,372.93,149.17
SO226,"Thursday, January 9, 2020",Wholesale,USD,6,17,16,9,469.64,335.45,134.18
SO227,"Friday, April 10, 2020",In-Store,USD,20,25,14,1,584.67,417.62,167.05
SO228,"Monday, February 24, 2020",Wholesale,USD,11,6,9,10,585.81,418.43,167.37
SO229,"Friday, February 28, 2020",In-Store,USD,8,303,43,5,389.11,277.94,111.17
SO230,"Tuesday, May 19, 2020",Wholesale,USD,26,136,20,4,525.75,375.54,150.21
SO231,"Wednesday, April 8, 2020",In-Store,USD,7,363,3,7,568.13,405.80,162.32
SO232,"Sunday, May 17, 2020",In-Store,USD,26,297,45,9,305.32,218.09,87.23
SO233,"Wednesday, March 18, 2020",Wholesale,USD,21,5,29,10,342.21,244.43,97.77
SO234,"Friday, March 20, 2020",Online,USD,7,128,28,8,450.83,322.02,128.81
SO235,"Saturday, January 25, 2020",Online,USD,10,255,40,5,563.06,402.19,160.88
SO236,"Wednesday, April 8, 2020",In-Store,USD,25,16,46,8,634.24,453.03,181.21
SO237,"Saturday, April 11, 2020",In-Store,USD,5,194,31,5,543.48,388.20,155.28
SO238,"Tuesday, January 14, 2020",In-Store,USD,11,149,18,6,416.14,297.24,118.90
SO239,"Monday, March 30, 2020",In-Store,USD,5,352,5,8,587.99,419.99,168.00
SO240,"Friday, February 7, 2020",Distributor,USD,24,70,31,9,421.14,300.81,120.33
SO241,"Saturday, March 14, 2020",Distributor,USD,9,188,19,5,220.05,157.18,62.87
SO242,"Friday, January 10, 2020",Distributor,USD,3,163,42,2,391.88,279.91,111.96
SO243,"Wednesday, April 8, 2020",In-Store,USD,20,53,25,6,262.65,187.60,75.04
SO244,"Monday, February 24, 2020",Online,USD,14,363,38,10,211.80,151.29,60.52
SO245,"Sunday, March 22, 2020",Distributor,USD,20,113,5,1,521.35,372.39,148.96
SO246,"Thursday, January 2, 2020",Wholesale,USD,7,267,36,6,593.34,423.81,169.52
SO247,"Saturday, April 18, 2020",Online,USD,10,188,15,9,475.45,339.61,135.84
SO248,"Friday, April 10, 2020",Wholesale,USD,18,167,26,5,253.10,180.79,72.32
SO249,"Thursday, February 20, 2020",Distributor,USD,12,159,36,9,487.60,348.29,139.31
SO250,"Thursday, April 23, 2020",In-Store,USD,4,11,10,5,549.40,392.43,156.97
SO251,"Monday, March 2, 2020",Distributor,USD,7,301,37,8,166.07,118.62,47.45
SO252,"Thursday, January 23, 2020",Distributor,USD,16,54,37,6,626.04,447.17,178.87
SO253,"Friday, March 13, 2020",In-Store,USD,3,282,20,10,157.61,112.58,45.03
SO254,"Wednesday, April 22, 2020",Online,USD,22,6,26,8,300.21,214.44,85.77
SO255,"Friday, February 28, 2020",Online,USD,7,46,10,7,247.39,176.71,70.68
SO256,"Thursday, April 2, 2020",Online,USD,15,253,24,6,502.08,358.63,143.45
SO257,"Sunday, January 26, 2020",Wholesale,USD,19,7,24,6,294.77,210.55,84.22
SO258,"Tuesday, April 21, 2020",Wholesale,USD,22,326,32,10,217.15,155.11,62.04
SO259,"Thursday, March 12, 2020",Distributor,USD,26,325,40,5,638.58,456.13,182.45
SO260,"Monday, March 2, 2020",Online,USD,12,192,34,1,530.74,379.10,151.64
SO261,"Monday, May 11, 2020",Distributor,USD,4,152,31,8,234.33,167.38,66.95
SO262,"Thursday, April 9, 2020",Online,USD,24,101,4,6,447.03,319.30,127.72
SO263,"Sunday, May 24, 2020",Online,USD,6,102,16,6,429.52,306.80,122.72
SO264,"Monday, March 16, 2020",Online,USD,22,343,18,7,342.44,244.60,97.84
SO265,"Saturday, February 8, 2020",Wholesale,USD,1,240,27,2,364.92,260.65,104.26
SO266,"Thursday, April 23, 2020",In-Store,USD,7,137,45,8,481.53,343.95,137.58
SO267,"Friday, January 24, 2020",Distributor,USD,9,285,10,3,174.47,124.62,49.85
SO268,"Wednesday, April 15, 2020",Online,USD,9,117,31,4,184.50,131.79,52.71
SO269,"Tuesday, March 10, 2020",In-Store,USD,5,47,13,5,226.29,161.64,64.65
SO270,"Monday, May 25, 2020",In-Store,USD,24,124,24,7,354.94,253.53,101.41
SO271,"Friday, February 14, 2020",In-Store,USD,6,359,36,8,302.88,216.34,86.54
SO272,"Thursday, January 30, 2020",Online,USD,3,251,23,1,177.57,126.84,50.74
SO273,"Friday, March 13, 2020",Wholesale,USD,21,131,25,8,239.37,170.98,68.39
SO274,"Tuesday, March 31, 2020",Distributor,USD,12,337,36,8,464.07,331.48,132.59
SO275,"Friday, March 20, 2020",Online,USD,10,253,7,4,156.63,111.88,44.75
SO276,"Monday, February 17, 2020",Wholesale,USD,12,161,14,1,198.14,141.53,56.61
SO277,"Monday, May 18, 2020",In-Store,USD,12,255,29,1,555.48,396.77,158.71
SO278,"Thursday, January 30, 2020",Online,USD,20,132,13,8,511.49,365.35,146.14
SO279,"Saturday, February 15, 2020",Online,USD,6,89,28,4,158.33,113.09,45.24
SO280,"Friday, March 20, 2020",Online,USD,2,140,3,7,387.40,276.71,110.69
SO281,"Thursday, May 14, 2020",Distributor,USD,18,106,6,7,531.90,379.93,151.97
SO282,"Saturday, April 11, 2020",In-Store,USD,6,197,21,7,577.96,412.83,165.13
SO283,"Wednesday, May 20, 2020",Distributor,USD,15,32,8,5,598.03,427.16,170.86
SO284,"Tuesday, April 21, 2020",Wholesale,USD,2,365,26,8,282.28,201.63,80.65
SO285,"Tuesday, February 11, 2020",Distributor,USD,15,103,19,8,336.59,240.42,96.17
SO286,"Sunday, April 19, 2020",Wholesale,USD,3,124,34,5,316.13,225.80,90.32
SO287,"Saturday, February 29, 2020",Distributor,USD,18,222,19,2,545.06,389.33,155.73
SO288,"Sunday, April 26, 2020",Online,USD,20,341,39,10,576.83,412.02,164.81
SO289,"Thursday, January 23, 2020",Distributor,USD,23,94,35,7,173.24,123.74,49.50
SO290,"Saturday, March 7, 2020",In-Store,USD,7,116,19,3,273.51,195.36,78.14
SO291,"Tuesday, March 10, 2020",Wholesale,USD,2,73,26,8,392.20,280.15,112.06
SO292,"Thursday, January 23, 2020",Distributor,USD,5,293,3,10,499.78,356.98,142.79
SO293,"Friday, March 13, 2020",Online,USD,26,349,12,9,633.51,452.50,181.00
SO294,"Tuesday, February 4, 2020",In-Store,USD,25,213,21,8,334.67,239.05,95.62
SO295,"Friday, May 29, 2020",In-Store,USD,2,225,38,8,517.08,369.35,147.74
SO296,"Tuesday, January 21, 2020",Online,USD,7,64,22,7,327.32,233.80,93.52
SO297,"Tuesday, January 14, 2020",Wholesale,USD,20,74,39,1,168.56,120.40,48.16
SO298,"Friday, May 22, 2020",In-Store,USD,26,341,29,8,292.68,209.05,83.62
SO299,"Sunday, March 15, 2020",Distributor,USD,8,190,42,1,569.78,406.99,162.80
SO300,"Sunday, May 24, 2020",Wholesale,USD,26,318,31,4,514.27,367.34,146.93
SO301,"Saturday, May 9, 2020",Wholesale,USD,18,56,10,8,200.82,143.45,57.38
SO302,"Thursday, February 6, 2020",Online,USD,4,88,42,4,545.83,389.88,155.95
SO303,"Friday, January 3, 2020",Wholesale,USD,11,123,44,4,388.76,277.69,111.07
SO304,"Wednesday, February 19, 2020",Wholesale,USD,1,157,4,5,449.32,320.94,128.38
